Hours Studied;Previous Scores;Sleep Hours;Sample Question Papers Practiced;Performance Index
7;66;6;7;57
2;57;4;6;32
1;79;9;4;53
4;99;7;1;82
8;49;6;9;41
2;97;7;6;75
3;81;8;9;63
1;44;7;3;17
1;49;7;3;24
3;89;8;7;69
5;60;8;5;47
3;63;6;8;43
1;77;4;1;48
1;42;8;4;17
8;79;6;5;75
2;70;7;7;54
3;80;7;3;59
2;76;9;6;56
3;41;5;6;20
7;41;8;3;34
1;78;6;0;54
8;88;9;2;83
2;81;6;1;59
3;83;4;2;63
9;73;9;4;72
7;81;6;0;70
4;59;8;4;41
5;72;6;1;54
2;43;5;3;21
8;84;7;5;83
4;83;7;8;64
9;50;9;9;51
5;81;6;5;66
9;86;6;9;83
4;44;6;1;26
5;64;6;7;49
9;88;5;4;85
8;99;8;8;95
3;76;5;9;56
1;73;5;8;50
3;48;5;3;23
4;45;7;0;26
2;57;5;8;30
1;53;6;8;28
7;58;5;7;48
8;53;6;4;46
7;79;9;4;73
5;56;8;9;45
1;99;7;5;76
7;74;8;0;71
7;68;9;8;60
9;81;8;4;77
3;56;7;6;36
9;98;6;7;96
1;82;9;4;62
1;47;9;2;22
4;40;6;5;21
9;84;6;6;79
6;92;7;3;82
3;75;5;8;55
1;46;4;3;22
4;85;5;9;70
9;44;5;1;37
3;63;8;8;42
9;67;4;3;64
7;82;6;3;72
4;56;5;9;42
3;76;7;0;56
5;59;5;1;43
5;42;6;2;24
3;76;5;6;55
9;65;9;8;64
4;54;8;4;34
5;90;8;3;78
4;87;5;1;71
5;47;8;6;33
7;52;7;5;46
9;87;4;6;86
7;42;5;7;34
5;40;7;8;26
7;48;9;9;44
5;70;7;4;53
3;80;7;4;61
7;93;9;3;84
2;65;6;2;40
9;56;5;6;53
1;95;5;4;67
6;73;5;6;58
7;48;4;1;41
8;95;7;8;89
9;90;5;8;85
2;52;8;8;33
2;44;6;4;20
5;80;9;9;66
5;52;9;8;38
6;40;4;0;25
3;64;9;1;43
8;86;6;9;79
1;43;7;4;16
6;75;9;4;67
4;91;9;5;80
1;49;8;7;26
7;67;7;0;57
9;96;5;9;91
4;45;6;8;29
4;66;9;3;48
6;95;8;7;84
3;51;6;4;33
6;91;4;0;82
7;87;8;8;81
3;42;4;7;24
7;85;9;4;81
3;72;8;3;54
2;49;5;7;25
4;70;6;8;53
8;54;6;6;48
9;46;7;3;40
7;75;8;6;66
1;53;8;5;29
3;95;4;2;73
9;87;8;9;89
1;53;6;2;27
9;42;8;0;40
8;88;7;4;83
1;92;7;7;69
6;85;6;5;72
5;89;6;7;77
6;42;6;6;32
5;61;8;1;49
6;58;8;7;44
5;74;5;3;57
